reference,candidate,n,bias_C,mae_C,rmse_C,corr,amp_reference_C,amp_candidate_C,amp_error_C,peak_time_reference,peak_time_candidate,peak_lag_min,top_col,H_slab_m
T1Tb,forced_slab_from_T2A2,3459,-1.6529339599132415,1.772976905915912,2.5081131904209157,0.9552118657515595,13.027245000000004,5.695310550387717,-7.331934449612287,2026-04-01 14:56:00,2026-04-02 13:00:00,1324.0,T2A2,0.05499999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.635709181185439,1.7671522440298704,2.4995343484345236,0.9586810730821418,13.027245000000004,5.607262474273398,-7.419982525726606,2026-04-01 14:56:00,2026-04-02 13:01:00,1325.0,T2A2,0.05999999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.6190162962776973,1.7627882984076049,2.4932969541460555,0.9614105984587693,13.027245000000004,5.515018076964054,-7.51222692303595,2026-04-01 14:56:00,2026-04-02 13:03:00,1327.0,T2A2,0.06499999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.6028698606462342,1.759790123215816,2.489618213897143,0.9633015962309782,13.027245000000004,5.419583137778375,-7.607661862221629,2026-04-01 14:56:00,2026-04-02 13:07:00,1331.0,T2A2,0.06999999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.5872848132904875,1.7581090174548069,2.488679787391929,0.9642626661145486,13.027245000000004,5.320348594339237,-7.706896405660768,2026-04-01 14:56:00,2026-04-02 13:13:00,1337.0,T2A2,0.07499999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.5722759480942452,1.7577549704570488,2.4906216114983706,0.9642111510973499,13.027245000000004,5.221608650018425,-7.8056363499815795,2026-04-01 14:56:00,2026-04-02 13:20:00,1344.0,T2A2,0.07999999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.5578574290325602,1.7588141221687046,2.4955366546147806,0.963074448048973,13.027245000000004,5.119811473548793,-7.907433526451211,2026-04-01 14:56:00,2026-04-02 13:21:00,1345.0,T2A2,0.08499999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.5440424373848511,1.7614293351404453,2.503467173786619,0.9607912938481381,13.027245000000004,5.0106193522891544,-8.01662564771085,2026-04-01 14:56:00,2026-04-02 13:27:00,1351.0,T2A2,0.08999999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.5308429527103693,1.7659071202316745,2.514402974432046,0.9573129213615592,13.027245000000004,4.906861535532073,-8.120383464467931,2026-04-01 14:56:00,2026-04-02 13:47:00,1371.0,T2A2,0.09499999999999999
T1Tb,forced_slab_from_T2A2,3459,-1.518269611995783,1.7723629322456345,2.5282819620482164,0.9526039661945865,13.027245000000004,4.830013291804448,-8.197231708195556,2026-04-01 14:56:00,2026-04-01 15:24:00,28.0,T2A2,0.09999999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.5063315762779617,1.7813852540557977,2.544992999642418,0.946643034280998,13.027245000000004,4.786033200840336,-8.241211799159668,2026-04-01 14:56:00,2026-04-01 15:26:00,30.0,T2A2,0.10499999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.4950363530310562,1.7929733135851118,2.5643808189089756,0.9394228872224986,13.027245000000004,4.739320248146498,-8.287924751853506,2026-04-01 14:56:00,2026-04-01 15:28:00,32.0,T2A2,0.10999999999999997
T1Tb,forced_slab_from_T2A2,3459,-1.4843895562115252,1.8079502543843,2.5862525307793143,0.9309502467225407,13.027245000000004,4.6909225983849865,-8.336322401615018,2026-04-01 14:56:00,2026-04-01 15:33:00,37.0,T2A2,0.11499999999999998
T1Tb,forced_slab_from_T2A2,3459,-1.4743946186286585,1.8260983901855588,2.6103851694829117,0.921245251568642,13.027245000000004,4.64140690347341,-8.385838096526594,2026-04-01 14:56:00,2026-04-01 15:35:00,39.0,T2A2,0.11999999999999998
